lu1,word_1,senseDescription_1,relation,lu2,word_2,senseDescription_2
13191,negotiation,discussion with others to try to reach an agreement or compromise,hypernym,17687,activity,an action taken in pursuit of an objective
21601,inquiry,an official investigation.,hypernym,21606,investigation,a systematic search or inquiry into an incident
25836,order,a request for something to be served,hyponym,26241,summons,an official call or citation to appear before a court
25141,order,the arrangement or disposition of people or things according to a particular sequence or method.,hyponym,25137,succession,sequence
25857,order,a state of non-confusion; the opposite of chaos,hyponym,22203,quiet,"the state of being silent. Often occurs with verbs (keeping, remaining, staying)."
25857,order,a state of non-confusion; the opposite of chaos,antonym,25856,disorder,a state of chaos or confusion
25857,order,a state of non-confusion; the opposite of chaos,hypernym,25529,state,general descriptive term of a phase of matter. 
23382,response,a reaction,hyponym,23384,reaction,an instance of reacting to or against something.
23384,reaction,an instance of reacting to or against something.,hypernym,23382,response,a reaction
24167,admission,registration and entry (into an institution).,hypernym,13945,entrance,an act of entering
13363,announcement,the act of announcing,hypernym,13409,statement,a definite or clear expression of something in speech or writing 
13365,assertion,the act of asserting,hyponym,13378,contention,an assertion.
13365,assertion,the act of asserting,hyponym,26222,affirmation,the act or instance of affirming (declaring to be true)
13365,assertion,the act of asserting,hyponym,21801,claim,"something claimed as property, particularly a piece of land."
13365,assertion,the act of asserting,hypernym,13379,declaration,a formal or explicit statement or announcement
13365,assertion,the act of asserting,hyponym,17912,accusation,a charge or claim that someone has done something illegal or wrong.
13365,assertion,the act of asserting,hyponym,21825,testimony," a formal statement, especially one given in a court of law"
21801,claim,"something claimed as property, particularly a piece of land.",hypernym,13365,assertion,the act of asserting
13378,contention,an assertion.,hyponym,23876,submission,the act of presenting (a proposal or application) for consideration or judgement.
13378,contention,an assertion.,hypernym,13365,assertion,the act of asserting
13379,declaration,a formal or explicit statement or announcement,hypernym,13409,statement,a definite or clear expression of something in speech or writing 
13379,declaration,a formal or explicit statement or announcement,hyponym,19311,confession,a formal admission of one' s sins privately to a priest. 
13379,declaration,a formal or explicit statement or announcement,hyponym,13365,assertion,the act of asserting
13395,proposal,a plan or suggestion,hyponym,25806,hypothesis,a conjecture which explains a phenomenon and can be tested by experimentation
13409,statement,a definite or clear expression of something in speech or writing ,hyponym,21816,agreement,"a contract by which one party conveys land, property, services, etc. to another for a specified time. "
13409,statement,a definite or clear expression of something in speech or writing ,hyponym,23345,word,"a single distinct meaningful element of speech or writing, used to form sentences with others"
13409,statement,a definite or clear expression of something in speech or writing ,hyponym,13363,announcement,the act of announcing
13409,statement,a definite or clear expression of something in speech or writing ,hyponym,13379,declaration,a formal or explicit statement or announcement
13409,statement,a definite or clear expression of something in speech or writing ,hyponym,22214,assurance,a positive declaration intended to give confidence
26222,affirmation,the act or instance of affirming (declaring to be true),hypernym,13365,assertion,the act of asserting
20252,vexation,a cause of irritation and trouble,hyponym,13561,displeasure,a feeling of annoyance or dissatisfaction.
20252,vexation,a cause of irritation and trouble,hyponym,20250,aggravation,a cause of irritation or provocation
13550,perplexity,the state of being puzzled or perplexed.,hyponym,19202,mystery,"a novel, play, or film dealing with a puzzling crime. "
13561,displeasure,a feeling of annoyance or dissatisfaction.,hypernym,20252,vexation,a cause of irritation and trouble
20250,aggravation,a cause of irritation or provocation,hypernym,20252,vexation,a cause of irritation and trouble
13579,sympathy,feelings of pity and sorrow for someone else' s misfortune,hypernym,15728,kinship,"The relations between anthropomorphic entities which constitute a classification as ""kinship"""
24125,concern,a matter of interest or importance.,hyponym,25487,part,"an object that serves a distinct function in a complex artifact, especially of machines."
24125,concern,a matter of interest or importance.,hyponym,15586,affair,a love affair
24125,concern,a matter of interest or importance.,hypernym,27349,interest,concern for the outcome of (a state of affairs or event)
27349,interest,concern for the outcome of (a state of affairs or event),hyponym,24125,concern,a matter of interest or importance.
15586,affair,a love affair,hypernym,24125,concern,a matter of interest or importance.
25028,surprise,the occurence of something unexpected,hyponym,25027,shock,Fn: the state of surprise
19289,trouble,difficulty or problems. ,hyponym,21292,onslaught, a fierce or destructive attack.
19289,trouble,difficulty or problems. ,hyponym,19287,misfortune,an unfortunate event. 
25002,enjoyment,Fn: pleasure,hypernym,17687,activity,an action taken in pursuit of an objective
13832,pity,the feeling of sorrow and compassion caused by the sufferings of others,hypernym,19287,misfortune,an unfortunate event. 
13857,pleasure,feeling of happy satisfaction and enjoyment.,hypernym,17687,activity,an action taken in pursuit of an objective
13860,antipathy,a deep-seated feeling of aversion,hypernym,21651,object,a goal or purpose
13917,sensitivity,the quality or condition of being sensitive to slight changes or influences,hyponym,16126,antenna,"a long, thin sensory appendage found in pairs on the heads of insects and some other arthropods."
13917,sensitivity,the quality or condition of being sensitive to slight changes or influences,hypernym,22695,ability,the capacity to do something.
23975,susceptibility,a structural vulnerability; often impossible to defend against,hyponym,22697,capability,power or ability to do something
13920,death,the action or fact of dying or being killed.,hypernym,25529,state,general descriptive term of a phase of matter. 
17117,terminal,a departure and arrival building for passengers at an airport.,hyponym,16095,heel,the back part of the foot below the ankle.
17117,terminal,a departure and arrival building for passengers at an airport.,hyponym,16652,tip,the pointed or rounded extremity of something slender or tapering.
18137,end,The final point in a process.,hyponym,19614,termination,ending the employment of a person
23756,end,a final part of something.,antonym,23751,middle,a middle point or position.
23756,end,a final part of something.,antonym,23757,beginning,the first part of something.
24482,approach,a way of dealing with something.,hyponym,17756,avenue,"a broad road or path, especially one lined with trees. "
13941,arrival,the act of arriving,hypernym,17682,action,a thing done.
13941,arrival,the act of arriving,hyponym,13945,entrance,an act of entering
13945,entrance,an act of entering,hypernym,13941,arrival,the act of arriving
13945,entrance,an act of entering,hyponym,24167,admission,registration and entry (into an institution).
13945,entrance,an act of entering,hyponym,21288,incursion," an invasion or attack, especially a sudden or brief one."
14030,departure,the action of departing.,hyponym,14041,exit,an act of leaving.
14041,exit,an act of leaving.,hypernym,14030,departure,the action of departing.
23426,descent,the action of coming down (something).,hyponym,17428,cascade,a waterfall or succession of waterfalls
14215,emergence,the act or instance of coming out (of a dark place) gradually,hyponym,15247,rise,a move upwards on a scale
22513,arrangement,"the action, process, or result of arranging.",hyponym,25135,formation,an arrangement of entities forming a recognizable shape
14314,purge,an act of purging people from an organization or place.,hypernym,14316,removal,the action of removing.
14316,removal,the action of removing.,hyponym,14314,purge,an act of purging people from an organization or place.
14422,step,a motion of the foot and leg which results in overall motion of a body.,hypernym,22451,sound,a thing that can be heard.
24880,way,option,hypernym,24881,choice,a possibility that one can select
25539,way,the trajectory that will lead a theme from some prior location to a desire or intended goal. ,hyponym,24067,path,the direction in which a person or thing moves.
25539,way,the trajectory that will lead a theme from some prior location to a desire or intended goal. ,hyponym,17773,lane,"a narrow road, especially in a rural area. "
14528,observation,the action or process of closely observing or monitoring,hyponym,13120,monitoring,the act of observing and checking over a period of time.
14540,stare,a fixed look at someone or something with the eyes wide open,hyponym,12849,contemplation,the action of contemplating.
14717,taste,the sensation of flavour perceived in the mouth on contact with a substance.,hypernym,14706,perception,the ability to become aware of something through the senses
14706,perception,the ability to become aware of something through the senses,hyponym,14714,smell, a quality in something that is perceived by this faculty
14706,perception,the ability to become aware of something through the senses,hyponym,14717,taste,the sensation of flavour perceived in the mouth on contact with a substance.
16491,experience,knowledge or skill acquired over time,hyponym,19264,life,a biographical account of a person' s experiences and actions
16491,experience,knowledge or skill acquired over time,hyponym,22729,reminder,a thing that causes someone to remember something.
23710,belief,"an acceptance that something exists or is true, especially one without proof.",hyponym,12779,suspicion,a feeling that something is possible or probable or that someone is guilty of a crime or offence.
23710,belief,"an acceptance that something exists or is true, especially one without proof.",hyponym,23823,effect,(with in or into) the state or quality of being operational or effective.
22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing.",hyponym,22380,chatter,a series of short quick high-pitched sounds
22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing.",hyponym,22392,creak,a creaking sound.
22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing.",hyponym,25565,explosion,an event of a bomb or similar weapon detonating.
22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing.",hyponym,22387,clatter,a loud rattling sound as of hard objects falling or striking each other.
22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing.",hyponym,22421,scrunch,a loud crunching noise
22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing.",hyponym,22427,snore,a snorting or grunting sound in a person' s breathing while they are asleep.
22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing.",hyponym,22385,clang,"a loud, resonant metallic sound."
22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing.",hyponym,22393,crunch,a crunching sound.
22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing.",hyponym,22368,bark,"the sharp explosive cry of a dog, fox, or seal."
22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing.",hyponym,24583,howl,a long doleful cry uttered by an animal such as a dog.
22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing.",hypernym,22451,sound,a thing that can be heard.
22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing.",hyponym,22422,sizzle,an instance or the sound of sizzling.
22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing.",hyponym,22384,clack,a clacking sound
22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing.",hyponym,22411,plop,"a short sound as of a small, solid object dropping into water without a splash. "
22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing.",hyponym,22418,rustle,a rustling sound.
22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing.",hyponym,22434,thunder,a loud rumbling or crashing noise heard after a lightning flash due to the expansion of rapidly heated air.
22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing.",hyponym,22398,grunt,a grunting sound.
14714,smell, a quality in something that is perceived by this faculty,hypernym,14706,perception,the ability to become aware of something through the senses
22451,sound,a thing that can be heard.,hyponym,22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing."
22451,sound,a thing that can be heard.,hyponym,22400,gurgle,a gurgling sound.
22451,sound,a thing that can be heard.,hyponym,18825,sigh," a long, deep, audible exhalation expressing sadness, tiredness, relief, etc. "
22451,sound,a thing that can be heard.,hyponym,22408,peal,"a loud sound or succession of sounds, especially of bells or laughter"
22451,sound,a thing that can be heard.,hyponym,22437,toll,a single ring of a bell
22451,sound,a thing that can be heard.,hyponym,22445,whistle,"a clear, high-pitched sound such as the one made by forcing breath through a small hole between partly closed lips, or between one' s teeth"
22451,sound,a thing that can be heard.,hyponym,19211,song,a short poem or other set of words set to music. 
22451,sound,a thing that can be heard.,hyponym,24582,cry,a distinctive call of a bird or other animal.  
22451,sound,a thing that can be heard.,hyponym,22748,drum,"a percussion instrument sounded by being struck with sticks or the hands, typically cylindrical, barrel-shaped, or bowl-shaped with a taut membrane over one or both ends."
22451,sound,a thing that can be heard.,hyponym,22388,click,"a short, sharp sound as of two metallic or plastic objects coming smartly into contact"
22451,sound,a thing that can be heard.,hyponym,16508,whiz,a person who is extremly clever at something
22451,sound,a thing that can be heard.,hyponym,14422,step,a motion of the foot and leg which results in overall motion of a body.
22451,sound,a thing that can be heard.,hyponym,22412,plunk,a plunking sound.
22451,sound,a thing that can be heard.,hyponym,22407,patter,a repeated light tapping.
25286,image,An impression that a person has of something or someone,hypernym,23694,impression,a level of esteem
26592,revolution,,hypernym,24300,turn,a change of direction
14749,ouster,"A situation in which a person holding some office is removed from that office abruptly. This term usually implies that regular proceedure is not followed, and some degree of force or coercion is used. Takes the FE Old_leader in a PP[of].",hyponym,21820,deposition,a statement to be used as evidence.
21095,star,an important performer,hyponym,21096,co-star,a performer appearing with another or others of equal importance. 
17958,charge,an accusation of wrongdoing.,hyponym,21713,assessment,"the action of assessing; evaluating, judging"
17912,accusation,a charge or claim that someone has done something illegal or wrong.,hypernym,13365,assertion,the act of asserting
21294,charge,"a headlong rush forward, typically in attack.",hypernym,21286,attack, an instance of attacking.
24528,management,the act of managing; direction or control,hyponym,23522,finance,"the management of money, especially with respect to governments and large companies."
25401,legislator,an elected official working in the legislature; one who makes the laws,hypernym,22834,politician,"a person who is professionally involved in politics, especially as a holder of an elected office"
25413,secretary,"the person in charge of a subsection of the government, i.e. the Secretary of Defense",hypernym,21780,assistant,a person who ranks below a senior person.
25529,state,general descriptive term of a phase of matter. ,hyponym,22108,relationship,"the way in which two or more people or things are connected, or the state of being connected."
25529,state,general descriptive term of a phase of matter. ,hyponym,16051,ownership,the state of owning s.t.
25529,state,general descriptive term of a phase of matter. ,hyponym,25626,degree,"Extent, amount, often used of abstract entities: degree of involvement, degree of participation"
25529,state,general descriptive term of a phase of matter. ,hyponym,25857,order,a state of non-confusion; the opposite of chaos
25529,state,general descriptive term of a phase of matter. ,hyponym,22481,dependence,the state of relying on someone or something for financial or other support.
25529,state,general descriptive term of a phase of matter. ,hyponym,22144,enlargement,the action or state of enlarging or being enlarged. 
25529,state,general descriptive term of a phase of matter. ,hyponym,20744,obligation,an act or course of action to which a person is morally or legally bound
25529,state,general descriptive term of a phase of matter. ,hyponym,25856,disorder,a state of chaos or confusion
25529,state,general descriptive term of a phase of matter. ,hyponym,13920,death,the action or fact of dying or being killed.
25529,state,general descriptive term of a phase of matter. ,hyponym,24098,condition,"the state of something or someone, with regard to appearance, fitness, or working order."
25387,commissioner,the head of a public organization,hypernym,16155,member,a man' s penis
14900,augmentation,the action of augmenting.,hypernym,15243,increase,a move up on a scale
22144,enlargement,the action or state of enlarging or being enlarged. ,hypernym,25529,state,general descriptive term of a phase of matter. 
14932,glass,a drinking container made of glass. ,hyponym,14992,goblet,a drinking glass with a foot and a stem
14932,glass,a drinking container made of glass. ,hyponym,15027,tumbler,a drinking glass with straight sides and no handle or stem. formerly having a rounded bottom so as not to stand upright.
14946,tin,"a container made of tinplate or aluminium, typically used for baking or storing",hypernym,21446,vessel,a ship or large boat.  
14953,basin,"a large bowl or open container for washing in, preparing food, or holding liquid",hypernym,21446,vessel,a ship or large boat.  
16741,bottle,"the volume of a container with a narrow neck, used for storing liquids",hypernym,21446,vessel,a ship or large boat.  
16748,bowl,"the volume contained by a round, deep dish or basin",hypernym,21446,vessel,a ship or large boat.  
24006,shell,"ammunition made from several materials, with a solid outer layer and an inner payload of explosives or shot.",hyponym,16433,boot,"a sturdy item of footwear covering the foot and ankle, and sometimes the lower leg. "
24006,shell,"ammunition made from several materials, with a solid outer layer and an inner payload of explosives or shot.",hypernym,17133,housing,houses and flats considered collectively
16305,instance,a particular case,hyponym,25160,time,a particular instance of the occurence of an event.
21609,case,a situation which is under investigation by legal authorities to determine if a crime has been comitted and a prosecution is appropriate. ,hypernym,22053,argument,a heated exchange of diverging or opposite views.
14985,dish,"a shallow, typically flat-bottomed container for cooking or serving food",hyponym,15019,casserole,"a large dish with a lid, used for cooking food slowly in an oven"
14985,dish,"a shallow, typically flat-bottomed container for cooking or serving food",hyponym,15010,ramekin,a small dish for baking and serving an individual portion of food. 
22748,drum,"a percussion instrument sounded by being struck with sticks or the hands, typically cylindrical, barrel-shaped, or bowl-shaped with a taut membrane over one or both ends.",hypernym,22451,sound,a thing that can be heard.
14992,goblet,a drinking glass with a foot and a stem,hypernym,14932,glass,a drinking container made of glass. 
21203,bond, physical restraints used to hold someone prisoner.,hypernym,18364,constraint,something that forcibly confines (someone or something)
15003,overnighter,an overnight bag. ,hypernym,24664,guest,a person who is invited to visit someone' s home or take part in a function.
15010,ramekin,a small dish for baking and serving an individual portion of food. ,hypernym,14985,dish,"a shallow, typically flat-bottomed container for cooking or serving food"
15019,casserole,"a large dish with a lid, used for cooking food slowly in an oven",hypernym,14985,dish,"a shallow, typically flat-bottomed container for cooking or serving food"
15027,tumbler,a drinking glass with straight sides and no handle or stem. formerly having a rounded bottom so as not to stand upright.,hypernym,14932,glass,a drinking container made of glass. 
15042,tub,"an open, flat-bottomed, usually round container",hypernym,21446,vessel,a ship or large boat.  
25344,window,a time period that allows an action to occur,hypernym,15079,period,a length or portion of time. 
15079,period,a length or portion of time. ,hyponym,25171,time,an indefinite period of time
15079,period,a length or portion of time. ,hyponym,25344,window,a time period that allows an action to occur
15079,period,a length or portion of time. ,hyponym,18081,evening,"the period of time at the end of the day, between late afternoon and bedtime"
15079,period,a length or portion of time. ,hyponym,25254,times,multiples of an original quantity
15079,period,a length or portion of time. ,hyponym,16203,festival," day or period of celebration or an organized series of concerts, films.       "
15079,period,a length or portion of time. ,hyponym,18109,hour,a period of time equal to a twenty-fourth part of a day and night and divided into 60 minutes
15079,period,a length or portion of time. ,hyponym,19455,life,"The state of an organism in which its biological processes are in normal operation, including metabolism and (for higher organisms) the nervous system, blood circulation, respiration, etc."
15079,period,a length or portion of time. ,hyponym,18060,day,"a twenty-four-hour period as a unit of time, reckoned from one midnight to the next and corresponding to a rotation of the earth on its axis"
15079,period,a length or portion of time. ,hyponym,18083,night,the time from sunset to sunrise
15079,period,a length or portion of time. ,hyponym,24779,past,a person' s or thing' s history or earlier life.
15079,period,a length or portion of time. ,hyponym,18087,year,"the period of 365 days (or 366 days in leap years) starting from the first of January, used for reckoning time in ordinary affairs"
15079,period,a length or portion of time. ,hyponym,18114,quarter,"a period of three months, used especially in reference to financial transactions"
15079,period,a length or portion of time. ,hyponym,16882,watch,a small timepiece worn typically on a strap on one' s wrist. 
15168,cost,the amount that something costs.,hypernym,22172,value,the usefulness of an Entity with respect to some Purpose.  
15243,increase,a move up on a scale,hyponym,14900,augmentation,the action of augmenting.
15243,increase,a move up on a scale,hyponym,15282,escalation,increase rapidly.
15243,increase,a move up on a scale,hyponym,25250,addition,the process of combining two numbers
15247,rise,a move upwards on a scale,hypernym,14215,emergence,the act or instance of coming out (of a dark place) gradually
26267,decline,process of becoming worse.,hyponym,26266,deterioration,the process of becoming worse.
25565,explosion,an event of a bomb or similar weapon detonating.,hypernym,22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing."
15282,escalation,increase rapidly.,hypernym,15243,increase,a move up on a scale
23257,shift,a relatively sudden change. ,hyponym,23479,advance,a development or improvement.
15285,gain,an increase (in wealth or resources).,antonym,24612,loss,"money spent by a company, cutting into profit."
15285,gain,an increase (in wealth or resources).,hypernym,25622,amount,a quantity
15294,depression,to decrease,hypernym,15433,push,a change in position caused by some force.
22064,spat,a petty quarrel.,hypernym,15724,offspring,"a person' s child or children, or the young of an animal."
22385,clang,"a loud, resonant metallic sound.",hypernym,22452,noise,"a sound, especially one that is loud, unpleasant, or disturbing."
22062,row,an acrimonious quarrel.,hypernym,25136,sequence,a temporal arrangement of entities
19651,row,a line (often occurring adjacent to other rows),hypernym,19640,strip,"a long, narrow piece of cloth, paper, etc. "
23099,employment,application or use in a particular situation.,hypernym,17682,action,a thing done.
23099,employment,application or use in a particular situation.,hyponym,25786,booking,arrangement to receive a service at a particular time.
15433,push,a change in position caused by some force.,hyponym,15294,depression,to decrease
16010,push,strenuous effort to reach a goal.,hypernym,23488,progression,sequence of change in accord with normal expectations.
19541,evolution,the gradual development of an entity,hypernym,24487,process,a series of actions or steps towards achieving a particular end.
16250,kind,a class or type of people or things having similar characteristics,hyponym,16255,ilk,a type (usually negatively evaluated)
16250,kind,a class or type of people or things having similar characteristics,hyponym,25843,genus,"one of the lowest-ranking taxonomic class, situated between Family and Species"
16250,kind,a class or type of people or things having similar characteristics,hyponym,21542,like,a person or thing that is similar to a familiar one
16250,kind,a class or type of people or things having similar characteristics,hyponym,16248,type,a category of people or things having common characteristics
16250,kind,a class or type of people or things having similar characteristics,hyponym,25498,style,a general form that an artwork resembles
16250,kind,a class or type of people or things having similar characteristics,hyponym,25844,species,"a formal taxonomic class, subdivision of a genus; members of a species can interbreed, while members of different species usually cannot"
24685,assortment,a miscellaneous collection.,hyponym,19923,selection,"the action or fact of selecting, or a number of selected things, or a range of things from which a choice may be made. "
24685,assortment,a miscellaneous collection.,hyponym,24676,range,a set of different things of the same general type.
16882,watch,a small timepiece worn typically on a strap on one' s wrist. ,hypernym,15079,period,a length or portion of time. 
15502,circus,for everyone,hypernym,17071,arena,"a level area surrounded by seating, in which public events and entertainments are held. "
15503,error,,hypernym,23661,failure,an endeavor that does not succeed
15550,betrothed, the person to whom one is engaged.,hypernym,15560,lover,a person having a sexual or romantic relationship with another
22118,marriage,"the formal union of a man and a woman, typically as recognized by law, by which they become husband and wife.",hypernym,19303,rite,a religious or other solemn ceremony or act
15560,lover,a person having a sexual or romantic relationship with another,hyponym,15550,betrothed, the person to whom one is engaged.
15560,lover,a person having a sexual or romantic relationship with another,hyponym,15577,inamorata,a woman with whom one is in love
26272,partner,"fellow member of the same partership. This is a business usage, as opposed to the use in the Personal_relatoinship frame. ",hypernym,21184,associate,a partner or companion in business or at work
21184,associate,a partner or companion in business or at work,hyponym,23105,participant,somebody who participates in an event
21184,associate,a partner or companion in business or at work,hyponym,15567,friend,"a person with whom one has a bond of mutual affection, typically one exclusive of sexual or family relations"
21184,associate,a partner or companion in business or at work,hyponym,26270,co-worker,fellow worker; someone who works for the same company or institution.
21184,associate,a partner or companion in business or at work,hyponym,16155,member,a man' s penis
21184,associate,a partner or companion in business or at work,hyponym,15584,mate,a friend or companion. 
21184,associate,a partner or companion in business or at work,hyponym,26272,partner,"fellow member of the same partership. This is a business usage, as opposed to the use in the Personal_relatoinship frame. "
15567,friend,"a person with whom one has a bond of mutual affection, typically one exclusive of sexual or family relations",hypernym,21184,associate,a partner or companion in business or at work
15577,inamorata,a woman with whom one is in love,hypernym,15560,lover,a person having a sexual or romantic relationship with another
15584,mate,a friend or companion. ,hypernym,21184,associate,a partner or companion in business or at work
