	lu1	word_1	senseDescription_1	relation	lu2	word_2	senseDescription_2
98	13174	commitment	a pledge or undertaking.	hyponym	13161	oath	a solemn promise, often invoking a divine witness, as to the truth of something or as a commitment to future action
99	24163	commitment	the act of sending to a psychiatric hospital	hypernym	18360	confinement	the action of forcing or keeping withing a contained area.
101	13177	communication	the action of communicating	hyponym	25641	publication	making a work (generally a written text) publicly available.
102	13177	communication	the action of communicating	hyponym	21402	indication	a sign or symptom
103	23238	exchange	an act or the action of exchanging.	hypernym	17147	transaction	an instance of buying or selling.
106	13190	discussant	somebody who participates in a formal discussion	hypernym	23105	participant	somebody who participates in an event
109	13191	negotiation	discussion with others to try to reach an agreement or compromise	hypernym	17687	activity	an action taken in pursuit of an objective
117	21601	inquiry	an official investigation.	hypernym	21606	investigation	a systematic search or inquiry into an incident
122	25836	order	a request for something to be served	hyponym	26241	summons	an official call or citation to appear before a court
124	25141	order	the arrangement or disposition of people or things according to a particular sequence or method.	hyponym	25137	succession	sequence
125	25857	order	a state of non-confusion; the opposite of chaos	hyponym	22203	quiet	the state of being silent. Often occurs with verbs (keeping, remaining, staying).
127	25857	order	a state of non-confusion; the opposite of chaos	antonym	25856	disorder	a state of chaos or confusion
128	25857	order	a state of non-confusion; the opposite of chaos	hypernym	25529	state	general descriptive term of a phase of matter. 
129	23382	response	a reaction	hyponym	23384	reaction	an instance of reacting to or against something.
130	23384	reaction	an instance of reacting to or against something.	hypernym	23382	response	a reaction
132	24167	admission	registration and entry (into an institution).	hypernym	13945	entrance	an act of entering
134	13363	announcement	the act of announcing	hypernym	13409	statement	a definite or clear expression of something in speech or writing 
137	13365	assertion	the act of asserting	hyponym	13378	contention	an assertion.
138	13365	assertion	the act of asserting	hyponym	26222	affirmation	the act or instance of affirming (declaring to be true)
139	13365	assertion	the act of asserting	hyponym	21801	claim	something claimed as property, particularly a piece of land.
140	13365	assertion	the act of asserting	hypernym	13379	declaration	a formal or explicit statement or announcement
141	13365	assertion	the act of asserting	hyponym	17912	accusation	a charge or claim that someone has done something illegal or wrong.
142	13365	assertion	the act of asserting	hyponym	21825	testimony	 a formal statement, especially one given in a court of law
144	21801	claim	something claimed as property, particularly a piece of land.	hypernym	13365	assertion	the act of asserting
145	13378	contention	an assertion.	hyponym	23876	submission	the act of presenting (a proposal or application) for consideration or judgement.
146	13378	contention	an assertion.	hypernym	13365	assertion	the act of asserting
147	13379	declaration	a formal or explicit statement or announcement	hypernym	13409	statement	a definite or clear expression of something in speech or writing 
148	13379	declaration	a formal or explicit statement or announcement	hyponym	19311	confession	a formal admission of one' s sins privately to a priest. 
149	13379	declaration	a formal or explicit statement or announcement	hyponym	13365	assertion	the act of asserting
153	13395	proposal	a plan or suggestion	hyponym	25806	hypothesis	a conjecture which explains a phenomenon and can be tested by experimentation
160	13409	statement	a definite or clear expression of something in speech or writing 	hyponym	21816	agreement	a contract by which one party conveys land, property, services, etc. to another for a specified time. 
161	13409	statement	a definite or clear expression of something in speech or writing 	hyponym	23345	word	a single distinct meaningful element of speech or writing, used to form sentences with others
163	13409	statement	a definite or clear expression of something in speech or writing 	hyponym	13363	announcement	the act of announcing
164	13409	statement	a definite or clear expression of something in speech or writing 	hyponym	13379	declaration	a formal or explicit statement or announcement
165	13409	statement	a definite or clear expression of something in speech or writing 	hyponym	22214	assurance	a positive declaration intended to give confidence
170	26222	affirmation	the act or instance of affirming (declaring to be true)	hypernym	13365	assertion	the act of asserting
175	20252	vexation	a cause of irritation and trouble	hyponym	13561	displeasure	a feeling of annoyance or dissatisfaction.
176	20252	vexation	a cause of irritation and trouble	hyponym	20250	aggravation	a cause of irritation or provocation
180	13550	perplexity	the state of being puzzled or perplexed.	hyponym	19202	mystery	a novel, play, or film dealing with a puzzling crime. 
184	13561	displeasure	a feeling of annoyance or dissatisfaction.	hypernym	20252	vexation	a cause of irritation and trouble
189	20250	aggravation	a cause of irritation or provocation	hypernym	20252	vexation	a cause of irritation and trouble
195	13579	sympathy	feelings of pity and sorrow for someone else' s misfortune	hypernym	15728	kinship	"The relations between anthropomorphic entities which constitute a classification as ""kinship"""
197	24125	concern	a matter of interest or importance.	hyponym	25487	part	an object that serves a distinct function in a complex artifact, especially of machines.
198	24125	concern	a matter of interest or importance.	hyponym	15586	affair	a love affair
199	24125	concern	a matter of interest or importance.	hypernym	27349	interest	concern for the outcome of (a state of affairs or event)
201	27349	interest	concern for the outcome of (a state of affairs or event)	hyponym	24125	concern	a matter of interest or importance.
205	15586	affair	a love affair	hypernym	24125	concern	a matter of interest or importance.
210	25028	surprise	the occurence of something unexpected	hyponym	25027	shock	Fn: the state of surprise
213	19289	trouble	difficulty or problems. 	hyponym	21292	onslaught	 a fierce or destructive attack.
215	19289	trouble	difficulty or problems. 	hyponym	19287	misfortune	an unfortunate event. 
217	25002	enjoyment	Fn: pleasure	hypernym	17687	activity	an action taken in pursuit of an objective
219	13832	pity	the feeling of sorrow and compassion caused by the sufferings of others	hypernym	19287	misfortune	an unfortunate event. 
223	13857	pleasure	feeling of happy satisfaction and enjoyment.	hypernym	17687	activity	an action taken in pursuit of an objective
225	13860	antipathy	a deep-seated feeling of aversion	hypernym	21651	object	a goal or purpose
234	13917	sensitivity	the quality or condition of being sensitive to slight changes or influences	hyponym	16126	antenna	a long, thin sensory appendage found in pairs on the heads of insects and some other arthropods.
236	13917	sensitivity	the quality or condition of being sensitive to slight changes or influences	hypernym	22695	ability	the capacity to do something.
237	23975	susceptibility	a structural vulnerability; often impossible to defend against	hyponym	22697	capability	power or ability to do something
240	13920	death	the action or fact of dying or being killed.	hypernym	25529	state	general descriptive term of a phase of matter. 
242	17117	terminal	a departure and arrival building for passengers at an airport.	hyponym	16095	heel	the back part of the foot below the ankle.
243	17117	terminal	a departure and arrival building for passengers at an airport.	hyponym	16652	tip	the pointed or rounded extremity of something slender or tapering.
244	18137	end	The final point in a process.	hyponym	19614	termination	ending the employment of a person
245	23756	end	a final part of something.	antonym	23751	middle	a middle point or position.
246	23756	end	a final part of something.	antonym	23757	beginning	the first part of something.
249	24482	approach	a way of dealing with something.	hyponym	17756	avenue	a broad road or path, especially one lined with trees. 
251	13941	arrival	the act of arriving	hypernym	17682	action	a thing done.
252	13941	arrival	the act of arriving	hyponym	13945	entrance	an act of entering
253	13945	entrance	an act of entering	hypernym	13941	arrival	the act of arriving
254	13945	entrance	an act of entering	hyponym	24167	admission	registration and entry (into an institution).
255	13945	entrance	an act of entering	hyponym	21288	incursion	 an invasion or attack, especially a sudden or brief one.
259	14030	departure	the action of departing.	hyponym	14041	exit	an act of leaving.
261	14041	exit	an act of leaving.	hypernym	14030	departure	the action of departing.
262	23426	descent	the action of coming down (something).	hyponym	17428	cascade	a waterfall or succession of waterfalls
263	14215	emergence	the act or instance of coming out (of a dark place) gradually	hyponym	15247	rise	a move upwards on a scale
264	22513	arrangement	the action, process, or result of arranging.	hyponym	25135	formation	an arrangement of entities forming a recognizable shape
265	14314	purge	an act of purging people from an organization or place.	hypernym	14316	removal	the action of removing.
266	14316	removal	the action of removing.	hyponym	14314	purge	an act of purging people from an organization or place.
268	14422	step	a motion of the foot and leg which results in overall motion of a body.	hypernym	22451	sound	a thing that can be heard.
270	24880	way	option	hypernym	24881	choice	a possibility that one can select
271	25539	way	the trajectory that will lead a theme from some prior location to a desire or intended goal. 	hyponym	24067	path	the direction in which a person or thing moves.
273	25539	way	the trajectory that will lead a theme from some prior location to a desire or intended goal. 	hyponym	17773	lane	a narrow road, especially in a rural area. 
274	14528	observation	the action or process of closely observing or monitoring	hyponym	13120	monitoring	the act of observing and checking over a period of time.
275	14540	stare	a fixed look at someone or something with the eyes wide open	hyponym	12849	contemplation	the action of contemplating.
277	14717	taste	the sensation of flavour perceived in the mouth on contact with a substance.	hypernym	14706	perception	the ability to become aware of something through the senses
284	14706	perception	the ability to become aware of something through the senses	hyponym	14714	smell	 a quality in something that is perceived by this faculty
285	14706	perception	the ability to become aware of something through the senses	hyponym	14717	taste	the sensation of flavour perceived in the mouth on contact with a substance.
287	16491	experience	knowledge or skill acquired over time	hyponym	19264	life	a biographical account of a person' s experiences and actions
288	16491	experience	knowledge or skill acquired over time	hyponym	22729	reminder	a thing that causes someone to remember something.
290	23710	belief	an acceptance that something exists or is true, especially one without proof.	hyponym	12779	suspicion	a feeling that something is possible or probable or that someone is guilty of a crime or offence.
291	23710	belief	an acceptance that something exists or is true, especially one without proof.	hyponym	23823	effect	(with in or into) the state or quality of being operational or effective.
292	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.	hyponym	22380	chatter	a series of short quick high-pitched sounds
293	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.	hyponym	22392	creak	a creaking sound.
294	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.	hyponym	25565	explosion	an event of a bomb or similar weapon detonating.
295	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.	hyponym	22387	clatter	a loud rattling sound as of hard objects falling or striking each other.
296	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.	hyponym	22421	scrunch	a loud crunching noise
298	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.	hyponym	22427	snore	a snorting or grunting sound in a person' s breathing while they are asleep.
299	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.	hyponym	22385	clang	a loud, resonant metallic sound.
301	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.	hyponym	22393	crunch	a crunching sound.
302	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.	hyponym	22368	bark	the sharp explosive cry of a dog, fox, or seal.
303	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.	hyponym	24583	howl	a long doleful cry uttered by an animal such as a dog.
304	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.	hypernym	22451	sound	a thing that can be heard.
305	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.	hyponym	22422	sizzle	an instance or the sound of sizzling.
306	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.	hyponym	22384	clack	a clacking sound
307	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.	hyponym	22411	plop	a short sound as of a small, solid object dropping into water without a splash. 
308	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.	hyponym	22418	rustle	a rustling sound.
309	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.	hyponym	22434	thunder	a loud rumbling or crashing noise heard after a lightning flash due to the expansion of rapidly heated air.
311	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.	hyponym	22398	grunt	a grunting sound.
317	14714	smell	 a quality in something that is perceived by this faculty	hypernym	14706	perception	the ability to become aware of something through the senses
318	22451	sound	a thing that can be heard.	hyponym	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.
319	22451	sound	a thing that can be heard.	hyponym	22400	gurgle	a gurgling sound.
320	22451	sound	a thing that can be heard.	hyponym	18825	sigh	 a long, deep, audible exhalation expressing sadness, tiredness, relief, etc. 
321	22451	sound	a thing that can be heard.	hyponym	22408	peal	a loud sound or succession of sounds, especially of bells or laughter
322	22451	sound	a thing that can be heard.	hyponym	22437	toll	a single ring of a bell
324	22451	sound	a thing that can be heard.	hyponym	22445	whistle	a clear, high-pitched sound such as the one made by forcing breath through a small hole between partly closed lips, or between one' s teeth
325	22451	sound	a thing that can be heard.	hyponym	19211	song	a short poem or other set of words set to music. 
326	22451	sound	a thing that can be heard.	hyponym	24582	cry	a distinctive call of a bird or other animal.  
327	22451	sound	a thing that can be heard.	hyponym	22748	drum	a percussion instrument sounded by being struck with sticks or the hands, typically cylindrical, barrel-shaped, or bowl-shaped with a taut membrane over one or both ends.
328	22451	sound	a thing that can be heard.	hyponym	22388	click	a short, sharp sound as of two metallic or plastic objects coming smartly into contact
329	22451	sound	a thing that can be heard.	hyponym	16508	whiz	a person who is extremly clever at something
330	22451	sound	a thing that can be heard.	hyponym	14422	step	a motion of the foot and leg which results in overall motion of a body.
331	22451	sound	a thing that can be heard.	hyponym	22412	plunk	a plunking sound.
332	22451	sound	a thing that can be heard.	hyponym	22407	patter	a repeated light tapping.
336	25286	image	An impression that a person has of something or someone	hypernym	23694	impression	a level of esteem
337	26592	revolution		hypernym	24300	turn	a change of direction
338	14749	ouster	A situation in which a person holding some office is removed from that office abruptly. This term usually implies that regular proceedure is not followed, and some degree of force or coercion is used. Takes the FE Old_leader in a PP[of].	hyponym	21820	deposition	a statement to be used as evidence.
341	21095	star	an important performer	hyponym	21096	co-star	a performer appearing with another or others of equal importance. 
342	17958	charge	an accusation of wrongdoing.	hyponym	21713	assessment	the action of assessing; evaluating, judging
345	17912	accusation	a charge or claim that someone has done something illegal or wrong.	hypernym	13365	assertion	the act of asserting
346	21294	charge	a headlong rush forward, typically in attack.	hypernym	21286	attack	 an instance of attacking.
348	24528	management	the act of managing; direction or control	hyponym	23522	finance	the management of money, especially with respect to governments and large companies.
349	25401	legislator	an elected official working in the legislature; one who makes the laws	hypernym	22834	politician	a person who is professionally involved in politics, especially as a holder of an elected office
353	25413	secretary	the person in charge of a subsection of the government, i.e. the Secretary of Defense	hypernym	21780	assistant	a person who ranks below a senior person.
354	25529	state	general descriptive term of a phase of matter. 	hyponym	22108	relationship	the way in which two or more people or things are connected, or the state of being connected.
355	25529	state	general descriptive term of a phase of matter. 	hyponym	16051	ownership	the state of owning s.t.
356	25529	state	general descriptive term of a phase of matter. 	hyponym	25626	degree	Extent, amount, often used of abstract entities: degree of involvement, degree of participation
357	25529	state	general descriptive term of a phase of matter. 	hyponym	25857	order	a state of non-confusion; the opposite of chaos
358	25529	state	general descriptive term of a phase of matter. 	hyponym	22481	dependence	the state of relying on someone or something for financial or other support.
359	25529	state	general descriptive term of a phase of matter. 	hyponym	22144	enlargement	the action or state of enlarging or being enlarged. 
360	25529	state	general descriptive term of a phase of matter. 	hyponym	20744	obligation	an act or course of action to which a person is morally or legally bound
361	25529	state	general descriptive term of a phase of matter. 	hyponym	25856	disorder	a state of chaos or confusion
362	25529	state	general descriptive term of a phase of matter. 	hyponym	13920	death	the action or fact of dying or being killed.
363	25529	state	general descriptive term of a phase of matter. 	hyponym	24098	condition	the state of something or someone, with regard to appearance, fitness, or working order.
368	25387	commissioner	the head of a public organization	hypernym	16155	member	a man' s penis
369	14900	augmentation	the action of augmenting.	hypernym	15243	increase	a move up on a scale
371	22144	enlargement	the action or state of enlarging or being enlarged. 	hypernym	25529	state	general descriptive term of a phase of matter. 
374	14932	glass	a drinking container made of glass. 	hyponym	14992	goblet	a drinking glass with a foot and a stem
376	14932	glass	a drinking container made of glass. 	hyponym	15027	tumbler	a drinking glass with straight sides and no handle or stem. formerly having a rounded bottom so as not to stand upright.
379	14946	tin	a container made of tinplate or aluminium, typically used for baking or storing	hypernym	21446	vessel	a ship or large boat.  
382	14953	basin	a large bowl or open container for washing in, preparing food, or holding liquid	hypernym	21446	vessel	a ship or large boat.  
384	16741	bottle	the volume of a container with a narrow neck, used for storing liquids	hypernym	21446	vessel	a ship or large boat.  
386	16748	bowl	the volume contained by a round, deep dish or basin	hypernym	21446	vessel	a ship or large boat.  
390	24006	shell	ammunition made from several materials, with a solid outer layer and an inner payload of explosives or shot.	hyponym	16433	boot	a sturdy item of footwear covering the foot and ankle, and sometimes the lower leg. 
392	24006	shell	ammunition made from several materials, with a solid outer layer and an inner payload of explosives or shot.	hypernym	17133	housing	houses and flats considered collectively
393	16305	instance	a particular case	hyponym	25160	time	a particular instance of the occurence of an event.
395	21609	case	a situation which is under investigation by legal authorities to determine if a crime has been comitted and a prosecution is appropriate. 	hypernym	22053	argument	a heated exchange of diverging or opposite views.
401	14985	dish	a shallow, typically flat-bottomed container for cooking or serving food	hyponym	15019	casserole	a large dish with a lid, used for cooking food slowly in an oven
402	14985	dish	a shallow, typically flat-bottomed container for cooking or serving food	hyponym	15010	ramekin	a small dish for baking and serving an individual portion of food. 
403	22748	drum	a percussion instrument sounded by being struck with sticks or the hands, typically cylindrical, barrel-shaped, or bowl-shaped with a taut membrane over one or both ends.	hypernym	22451	sound	a thing that can be heard.
407	14992	goblet	a drinking glass with a foot and a stem	hypernym	14932	glass	a drinking container made of glass. 
410	21203	bond	 physical restraints used to hold someone prisoner.	hypernym	18364	constraint	something that forcibly confines (someone or something)
413	15003	overnighter	an overnight bag. 	hypernym	24664	guest	a person who is invited to visit someone' s home or take part in a function.
415	15010	ramekin	a small dish for baking and serving an individual portion of food. 	hypernym	14985	dish	a shallow, typically flat-bottomed container for cooking or serving food
417	15019	casserole	a large dish with a lid, used for cooking food slowly in an oven	hypernym	14985	dish	a shallow, typically flat-bottomed container for cooking or serving food
420	15027	tumbler	a drinking glass with straight sides and no handle or stem. formerly having a rounded bottom so as not to stand upright.	hypernym	14932	glass	a drinking container made of glass. 
422	15042	tub	an open, flat-bottomed, usually round container	hypernym	21446	vessel	a ship or large boat.  
430	25344	window	a time period that allows an action to occur	hypernym	15079	period	a length or portion of time. 
431	15079	period	a length or portion of time. 	hyponym	25171	time	an indefinite period of time
432	15079	period	a length or portion of time. 	hyponym	25344	window	a time period that allows an action to occur
433	15079	period	a length or portion of time. 	hyponym	18081	evening	the period of time at the end of the day, between late afternoon and bedtime
434	15079	period	a length or portion of time. 	hyponym	25254	times	multiples of an original quantity
435	15079	period	a length or portion of time. 	hyponym	16203	festival	 day or period of celebration or an organized series of concerts, films.       
436	15079	period	a length or portion of time. 	hyponym	18109	hour	a period of time equal to a twenty-fourth part of a day and night and divided into 60 minutes
437	15079	period	a length or portion of time. 	hyponym	19455	life	The state of an organism in which its biological processes are in normal operation, including metabolism and (for higher organisms) the nervous system, blood circulation, respiration, etc.
438	15079	period	a length or portion of time. 	hyponym	18060	day	a twenty-four-hour period as a unit of time, reckoned from one midnight to the next and corresponding to a rotation of the earth on its axis
439	15079	period	a length or portion of time. 	hyponym	18083	night	the time from sunset to sunrise
440	15079	period	a length or portion of time. 	hyponym	24779	past	a person' s or thing' s history or earlier life.
441	15079	period	a length or portion of time. 	hyponym	18087	year	the period of 365 days (or 366 days in leap years) starting from the first of January, used for reckoning time in ordinary affairs
442	15079	period	a length or portion of time. 	hyponym	18114	quarter	a period of three months, used especially in reference to financial transactions
443	15079	period	a length or portion of time. 	hyponym	16882	watch	a small timepiece worn typically on a strap on one' s wrist. 
445	15168	cost	the amount that something costs.	hypernym	22172	value	the usefulness of an Entity with respect to some Purpose.  
449	15243	increase	a move up on a scale	hyponym	14900	augmentation	the action of augmenting.
450	15243	increase	a move up on a scale	hyponym	15282	escalation	increase rapidly.
451	15243	increase	a move up on a scale	hyponym	25250	addition	the process of combining two numbers
452	15247	rise	a move upwards on a scale	hypernym	14215	emergence	the act or instance of coming out (of a dark place) gradually
454	26267	decline	process of becoming worse.	hyponym	26266	deterioration	the process of becoming worse.
457	25565	explosion	an event of a bomb or similar weapon detonating.	hypernym	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.
461	15282	escalation	increase rapidly.	hypernym	15243	increase	a move up on a scale
463	23257	shift	a relatively sudden change. 	hyponym	23479	advance	a development or improvement.
468	15285	gain	an increase (in wealth or resources).	antonym	24612	loss	money spent by a company, cutting into profit.
469	15285	gain	an increase (in wealth or resources).	hypernym	25622	amount	a quantity
470	15294	depression	to decrease	hypernym	15433	push	a change in position caused by some force.
472	22064	spat	a petty quarrel.	hypernym	15724	offspring	a person' s child or children, or the young of an animal.
475	22385	clang	a loud, resonant metallic sound.	hypernym	22452	noise	a sound, especially one that is loud, unpleasant, or disturbing.
477	22062	row	an acrimonious quarrel.	hypernym	25136	sequence	a temporal arrangement of entities
479	19651	row	a line (often occurring adjacent to other rows)	hypernym	19640	strip	a long, narrow piece of cloth, paper, etc. 
483	23099	employment	application or use in a particular situation.	hypernym	17682	action	a thing done.
484	23099	employment	application or use in a particular situation.	hyponym	25786	booking	arrangement to receive a service at a particular time.
488	15433	push	a change in position caused by some force.	hyponym	15294	depression	to decrease
490	16010	push	strenuous effort to reach a goal.	hypernym	23488	progression	sequence of change in accord with normal expectations.
492	19541	evolution	the gradual development of an entity	hypernym	24487	process	a series of actions or steps towards achieving a particular end.
496	16250	kind	a class or type of people or things having similar characteristics	hyponym	16255	ilk	a type (usually negatively evaluated)
497	16250	kind	a class or type of people or things having similar characteristics	hyponym	25843	genus	one of the lowest-ranking taxonomic class, situated between Family and Species
498	16250	kind	a class or type of people or things having similar characteristics	hyponym	21542	like	a person or thing that is similar to a familiar one
499	16250	kind	a class or type of people or things having similar characteristics	hyponym	16248	type	a category of people or things having common characteristics
500	16250	kind	a class or type of people or things having similar characteristics	hyponym	25498	style	a general form that an artwork resembles
501	16250	kind	a class or type of people or things having similar characteristics	hyponym	25844	species	a formal taxonomic class, subdivision of a genus; members of a species can interbreed, while members of different species usually cannot
503	24685	assortment	a miscellaneous collection.	hyponym	19923	selection	the action or fact of selecting, or a number of selected things, or a range of things from which a choice may be made. 
504	24685	assortment	a miscellaneous collection.	hyponym	24676	range	a set of different things of the same general type.
522	16882	watch	a small timepiece worn typically on a strap on one' s wrist. 	hypernym	15079	period	a length or portion of time. 
523	15502	circus	for everyone	hypernym	17071	arena	a level area surrounded by seating, in which public events and entertainments are held. 
525	15503	error		hypernym	23661	failure	an endeavor that does not succeed
527	15550	betrothed	 the person to whom one is engaged.	hypernym	15560	lover	a person having a sexual or romantic relationship with another
530	22118	marriage	the formal union of a man and a woman, typically as recognized by law, by which they become husband and wife.	hypernym	19303	rite	a religious or other solemn ceremony or act
531	15560	lover	a person having a sexual or romantic relationship with another	hyponym	15550	betrothed	 the person to whom one is engaged.
532	15560	lover	a person having a sexual or romantic relationship with another	hyponym	15577	inamorata	a woman with whom one is in love
533	26272	partner	fellow member of the same partership. This is a business usage, as opposed to the use in the Personal_relatoinship frame. 	hypernym	21184	associate	a partner or companion in business or at work
